Country,Year,Population
Albania,1960,1583800
Albania,1961,1633800
Albania,1962,1685800
Albania,1963,1736838
Albania,1964,1788404
Albania,1965,1839866
Albania,1966,1889715
Albania,1967,1939430
Albania,1968,1991765
Albania,1969,2052778
Albania,1970,2110612
Albania,1971,2160345
Albania,1972,2215361
Albania,1973,2270891
Albania,1974,2322613
Albania,1975,2377635
Albania,1976,2432027
Albania,1977,2485025
Albania,1978,2542066
Albania,1979,2590466
Albania,1980,2645198
Albania,1981,2698795
Albania,1982,2753316
Albania,1983,2815239
Albania,1984,2872681
Albania,1985,2936177
Albania,1986,2993347
Albania,1987,3051923
Albania,1988,3115286
Albania,1989,3169386
Albania,1990,3286500
Albania,1991,3259814
Albania,1992,3190103
Albania,1993,3167478
Albania,1994,3220310
Albania,1995,3248836
Albania,1996,3283000
Albania,1997,3324317
Albania,1998,3354341
Albania,1999,3373445
Albania,2000,3058497
Albania,2001,3063318
Albania,2002,3057018
Albania,2003,3044993
Albania,2004,3034231
Albania,2005,3019634
Albania,2006,3003329
Albania,2007,2981755
Albania,2008,2958266
Albania,2009,2936355
Albania,2010,2918674
Albania,2011,2907361
Albania,2012,2903008
Albania,2013,2897770
Albania,2014,2892394
Albania,2015,2885796
Albania,2016,2875592
Albania,2017,2876591
Albania,2018,2870324
Albania,2019,2862427
Albania,2020,2845955
Albania,2021,2829741
Albania,2022,2793592
Albania,2023,2761785
Albania,2024,:
Andorra,1960,:
Andorra,1961,:
Andorra,1962,:
Andorra,1963,:
Andorra,1964,:
Andorra,1965,:
Andorra,1966,:
Andorra,1967,:
Andorra,1968,:
Andorra,1969,:
Andorra,1970,:
Andorra,1971,:
Andorra,1972,:
Andorra,1973,:
Andorra,1974,:
Andorra,1975,:
Andorra,1976,:
Andorra,1977,:
Andorra,1978,:
Andorra,1979,:
Andorra,1980,:
Andorra,1981,:
Andorra,1982,:
Andorra,1983,:
Andorra,1984,:
Andorra,1985,:
Andorra,1986,44593
Andorra,1987,46976
Andorra,1988,48451
Andorra,1989,50528
Andorra,1990,50887
Andorra,1991,54507
Andorra,1992,59048
Andorra,1993,61599
Andorra,1994,65226
Andorra,1995,64311
Andorra,1996,63859
Andorra,1997,64479
Andorra,1998,65306
Andorra,1999,65877
Andorra,2000,65971
Andorra,2001,65844
Andorra,2002,66334
Andorra,2003,67159
Andorra,2004,72320
Andorra,2005,76875
Andorra,2006,78549
Andorra,2007,81222
Andorra,2008,83137
Andorra,2009,84484
Andorra,2010,84082
Andorra,2011,78115
Andorra,2012,78115
Andorra,2013,76246
Andorra,2014,:
Andorra,2015,:
Andorra,2016,:
Andorra,2017,:
Andorra,2018,:
Andorra,2019,76177
Andorra,2020,:
Andorra,2021,:
Andorra,2022,:
Andorra,2023,:
Andorra,2024,:
Armenia,1960,:
Armenia,1961,:
Armenia,1962,:
Armenia,1963,:
Armenia,1964,:
Armenia,1965,:
Armenia,1966,:
Armenia,1967,:
Armenia,1968,:
Armenia,1969,:
Armenia,1970,:
Armenia,1971,:
Armenia,1972,:
Armenia,1973,:
Armenia,1974,:
Armenia,1975,:
Armenia,1976,:
Armenia,1977,:
Armenia,1978,:
Armenia,1979,:
Armenia,1980,:
Armenia,1981,:
Armenia,1982,:
Armenia,1983,:
Armenia,1984,:
Armenia,1985,:
Armenia,1986,:
Armenia,1987,:
Armenia,1988,:
Armenia,1989,:
Armenia,1990,:
Armenia,1991,:
Armenia,1992,:
Armenia,1993,:
Armenia,1994,:
Armenia,1995,:
Armenia,1996,:
Armenia,1997,:
Armenia,1998,:
Armenia,1999,:
Armenia,2000,3226900
Armenia,2001,3215300
Armenia,2002,3212900
Armenia,2003,3210300
Armenia,2004,3212200
Armenia,2005,3215800
Armenia,2006,3219234
Armenia,2007,3222953
Armenia,2008,3230086
Armenia,2009,3237976
Armenia,2010,3249482
Armenia,2011,3262650
Armenia,2012,3274285
Armenia,2013,:
Armenia,2014,:
Armenia,2015,3010598
Armenia,2016,2998577
Armenia,2017,2986151
Armenia,2018,2972732
Armenia,2019,2965269
Armenia,2020,2959694
Armenia,2021,2963251
Armenia,2022,:
Armenia,2023,2977130
Armenia,2024,2991201
Austria,1960,7030385
Austria,1961,7064693
Austria,1962,7107904
Austria,1963,7151824
Austria,1964,7199798
Austria,1965,7247804
Austria,1966,7293973
Austria,1967,7350159
Austria,1968,7403837
Austria,1969,7426968
Austria,1970,7455142
Austria,1971,7479030
Austria,1972,7521933
Austria,1973,7566469
Austria,1974,7605760
Austria,1975,7592316
Austria,1976,7565489
Austria,1977,7565561
Austria,1978,7571299
Austria,1979,7553310
Austria,1980,7545539
Austria,1981,7553326
Austria,1982,7584094
Austria,1983,7564185
Austria,1984,7559635
Austria,1985,7563233
Austria,1986,7566736
Austria,1987,7572852
Austria,1988,7576319
Austria,1989,7594315
Austria,1990,7644818
Austria,1991,7710882
Austria,1992,7798899
Austria,1993,7882519
Austria,1994,7928746
Austria,1995,7943489
Austria,1996,7953067
Austria,1997,7964966
Austria,1998,7971116
Austria,1999,7982461
Austria,2000,8002186
Austria,2001,8020946
Austria,2002,8063640
Austria,2003,8100273
Austria,2004,8142573
Austria,2005,8201359
Austria,2006,8254298
Austria,2007,8282984
Austria,2008,8307989
Austria,2009,8335003
Austria,2010,8351643
Austria,2011,8375164
Austria,2012,8408121
Austria,2013,8451860
Austria,2014,8507786
Austria,2015,8584926
Austria,2016,8700471
Austria,2017,8772865
Austria,2018,8822267
Austria,2019,8858775
Austria,2020,8901064
Austria,2021,8932664
Austria,2022,8978929
Austria,2023,9104772
Austria,2024,9158750
Azerbaijan,1960,:
Azerbaijan,1961,:
Azerbaijan,1962,:
Azerbaijan,1963,:
Azerbaijan,1964,:
Azerbaijan,1965,:
Azerbaijan,1966,:
Azerbaijan,1967,:
Azerbaijan,1968,:
Azerbaijan,1969,:
Azerbaijan,1970,:
Azerbaijan,1971,:
Azerbaijan,1972,:
Azerbaijan,1973,:
Azerbaijan,1974,:
Azerbaijan,1975,:
Azerbaijan,1976,:
Azerbaijan,1977,:
Azerbaijan,1978,:
Azerbaijan,1979,:
Azerbaijan,1980,:
Azerbaijan,1981,:
Azerbaijan,1982,:
Azerbaijan,1983,:
Azerbaijan,1984,:
Azerbaijan,1985,:
Azerbaijan,1986,:
Azerbaijan,1987,:
Azerbaijan,1988,:
Azerbaijan,1989,:
Azerbaijan,1990,:
Azerbaijan,1991,:
Azerbaijan,1992,:
Azerbaijan,1993,:
Azerbaijan,1994,:
Azerbaijan,1995,:
Azerbaijan,1996,:
Azerbaijan,1997,:
Azerbaijan,1998,:
Azerbaijan,1999,:
Azerbaijan,2000,8016200
Azerbaijan,2001,8081000
Azerbaijan,2002,8141400
Azerbaijan,2003,8202500
Azerbaijan,2004,8265700
Azerbaijan,2005,8347300
Azerbaijan,2006,8436400
Azerbaijan,2007,8532700
Azerbaijan,2008,8629900
Azerbaijan,2009,8896900
Azerbaijan,2010,8997586
Azerbaijan,2011,9111078
Azerbaijan,2012,9235085
Azerbaijan,2013,9356483
Azerbaijan,2014,9477119
Azerbaijan,2015,9593038
Azerbaijan,2016,9705643
Azerbaijan,2017,9809981
Azerbaijan,2018,9898085
Azerbaijan,2019,9981457
Azerbaijan,2020,10067108
Azerbaijan,2021,10119133
Azerbaijan,2022,10156366
Azerbaijan,2023,10127145
Azerbaijan,2024,10180770
Belarus,1960,:
Belarus,1961,:
Belarus,1962,:
Belarus,1963,:
Belarus,1964,:
Belarus,1965,:
Belarus,1966,:
Belarus,1967,:
Belarus,1968,:
Belarus,1969,:
Belarus,1970,:
Belarus,1971,:
Belarus,1972,:
Belarus,1973,:
Belarus,1974,:
Belarus,1975,:
Belarus,1976,:
Belarus,1977,:
Belarus,1978,:
Belarus,1979,:
Belarus,1980,:
Belarus,1981,:
Belarus,1982,:
Belarus,1983,:
Belarus,1984,:
Belarus,1985,:
Belarus,1986,:
Belarus,1987,:
Belarus,1988,:
Belarus,1989,:
Belarus,1990,:
Belarus,1991,:
Belarus,1992,:
Belarus,1993,:
Belarus,1994,:
Belarus,1995,:
Belarus,1996,:
Belarus,1997,:
Belarus,1998,:
Belarus,1999,:
Belarus,2000,10019480
Belarus,2001,9990435
Belarus,2002,9950941
Belarus,2003,9898590
Belarus,2004,9849062
Belarus,2005,9800073
Belarus,2006,9750540
Belarus,2007,9714461
Belarus,2008,9689770
Belarus,2009,9671912
Belarus,2010,9480178
Belarus,2011,9481193
Belarus,2012,9465150
Belarus,2013,9463840
Belarus,2014,9468154
Belarus,2015,9480868
Belarus,2016,9498364
Belarus,2017,9504704
Belarus,2018,9491823
Belarus,2019,9475174
Belarus,2020,:
Belarus,2021,:
Belarus,2022,:
Belarus,2023,:
Belarus,2024,:
Belgium,1960,9128824
Belgium,1961,9178154
Belgium,1962,9189741
Belgium,1963,9251414
Belgium,1964,9328126
Belgium,1965,9428100
Belgium,1966,9499234
Belgium,1967,9556380
Belgium,1968,9605601
Belgium,1969,9631910
Belgium,1970,9660154
Belgium,1971,9650944
Belgium,1972,9695379
Belgium,1973,9726850
Belgium,1974,9756590
Belgium,1975,9788248
Belgium,1976,9813152
Belgium,1977,9823302
Belgium,1978,9837413
Belgium,1979,9841654
Belgium,1980,9855110
Belgium,1981,9863374
Belgium,1982,9854589
Belgium,1983,9858017
Belgium,1984,9853023
Belgium,1985,9857721
Belgium,1986,9858895
Belgium,1987,9864751
Belgium,1988,9875716
Belgium,1989,9927612
Belgium,1990,9947782
Belgium,1991,9986975
Belgium,1992,10021997
Belgium,1993,10068319
Belgium,1994,10100631
Belgium,1995,10130574
Belgium,1996,10143047
Belgium,1997,10170226
Belgium,1998,10192264
