Country Code,Year,Inflation
ABW,1960,
ABW,1961,
ABW,1962,
ABW,1963,
ABW,1964,
ABW,1965,
ABW,1966,
ABW,1967,
ABW,1968,
ABW,1969,
ABW,1970,
ABW,1971,
ABW,1972,
ABW,1973,
ABW,1974,
ABW,1975,
ABW,1976,
ABW,1977,
ABW,1978,
ABW,1979,
ABW,1980,
ABW,1981,
ABW,1982,
ABW,1983,
ABW,1984,
ABW,1985,4.03225805628628
ABW,1986,1.07396640826829
ABW,1987,3.64304545817706
ABW,1988,3.12186849610723
ABW,1989,3.99162804604575
ABW,1990,5.83668775158166
ABW,1991,5.55555555555579
ABW,1992,3.8733753699648
ABW,1993,5.2155599603571
ABW,1994,6.3110797127044
ABW,1995,3.36139107320899
ABW,1996,3.22528797213979
ABW,1997,2.99994809778412
ABW,1998,1.86948853615541
ABW,1999,2.28037198258753
ABW,2000,4.04402131190513
ABW,2001,2.88360430316264
ABW,2002,3.31524678585423
ABW,2003,3.65636507938418
ABW,2004,2.52912946932762
ABW,2005,3.39778677828806
ABW,2006,3.60802438784541
ABW,2007,5.39256784475517
ABW,2008,8.95598705177784
ABW,2009,-2.13542872046937
ABW,2010,2.07814071860787
ABW,2011,4.31629742195203
ABW,2012,0.627471992893373
ABW,2013,-2.37206524252261
ABW,2014,0.421440918881214
ABW,2015,0.474763597342641
ABW,2016,-0.931195987079561
ABW,2017,-1.02828178762012
ABW,2018,3.62604141352961
ABW,2019,4.25746204335428
ABW,2020,
ABW,2021,
ABW,2022,
ABW,2023,
AFE,1960,
AFE,1961,
AFE,1962,
AFE,1963,
AFE,1964,
AFE,1965,
AFE,1966,
AFE,1967,
AFE,1968,
AFE,1969,
AFE,1970,
AFE,1971,
AFE,1972,
AFE,1973,
AFE,1974,19.5983935742148
AFE,1975,15.224098935289149
AFE,1976,11.21647131726175
AFE,1977,14.23805549426815
AFE,1978,12.52689251464005
AFE,1979,15.06984982410145
AFE,1980,15.06651153725085
AFE,1981,14.4615910742107
AFE,1982,12.1399176954734
AFE,1983,11.5675243834069
AFE,1984,10.9838625715774
AFE,1985,13.0065664218827
AFE,1986,13.891971645556499
AFE,1987,12.563443221106901
AFE,1988,12.522253935574351
AFE,1989,12.5582020707012
AFE,1990,12.4579139789566
AFE,1991,17.6781002638523
AFE,1992,16.1676123963339
AFE,1993,13.1356607683724
AFE,1994,14.8528149833969
AFE,1995,12.2885912601426
AFE,1996,9.70658632526504
AFE,1997,10.249598740306624
AFE,1998,7.495256006955705
AFE,1999,7.819864776308625
AFE,2000,8.60148514851491
AFE,2001,5.840353983115575
AFE,2002,8.763753664261731
AFE,2003,7.44970014007366
AFE,2004,5.02342068616285
AFE,2005,8.558038022397785
AFE,2006,8.89816380214031
AFE,2007,8.450774806349994
AFE,2008,12.56664465951565
AFE,2009,8.95421802392949
AFE,2010,5.537537916456765
AFE,2011,8.971206409957876
AFE,2012,9.158708431679049
AFE,2013,5.7509813335246704
AFE,2014,5.37028961008587
AFE,2015,5.24587835022454
AFE,2016,6.57139642173964
AFE,2017,6.39934341569381
AFE,2018,4.72080474200535
AFE,2019,4.65366473106483
AFE,2020,5.40516207933392
AFE,2021,7.24097765588442
AFE,2022,10.7737512242899
AFE,2023,7.12697482131851
AFG,1960,
AFG,1961,
AFG,1962,
AFG,1963,
AFG,1964,
AFG,1965,
AFG,1966,
AFG,1967,
AFG,1968,
AFG,1969,
AFG,1970,
AFG,1971,
AFG,1972,
AFG,1973,
AFG,1974,
AFG,1975,
AFG,1976,
AFG,1977,
AFG,1978,
AFG,1979,
AFG,1980,
AFG,1981,
AFG,1982,
AFG,1983,
AFG,1984,
AFG,1985,
AFG,1986,
AFG,1987,
AFG,1988,
AFG,1989,
AFG,1990,
AFG,1991,
AFG,1992,
AFG,1993,
AFG,1994,
AFG,1995,
AFG,1996,
AFG,1997,
AFG,1998,
AFG,1999,
AFG,2000,
AFG,2001,
AFG,2002,
AFG,2003,
AFG,2004,
AFG,2005,12.6862687216715
AFG,2006,6.78459655001657
AFG,2007,8.68057078513405
AFG,2008,26.4186641547445
AFG,2009,-6.81116108898993
AFG,2010,2.17853752389414
AFG,2011,11.8041858089129
AFG,2012,6.44121280934117
AFG,2013,7.38577178397855
AFG,2014,4.67399603536305
AFG,2015,-0.66170916471352
AFG,2016,4.38389195513893
AFG,2017,4.97595150553892
AFG,2018,0.626149149168983
AFG,2019,2.30237251516819
AFG,2020,
AFG,2021,
AFG,2022,
AFG,2023,
AFW,1960,
AFW,1961,
AFW,1962,
AFW,1963,
AFW,1964,
AFW,1965,
AFW,1966,
AFW,1967,
AFW,1968,
AFW,1969,
AFW,1970,
AFW,1971,
AFW,1972,
AFW,1973,
AFW,1974,
AFW,1975,
AFW,1976,
AFW,1977,
AFW,1978,
AFW,1979,
AFW,1980,
AFW,1981,8.79921083308773
AFW,1982,12.0597652081337
AFW,1983,10.6719367588934
AFW,1984,11.2499999999997
AFW,1985,7.3549257759783
AFW,1986,5.950964999466195
AFW,1987,0.24878855535475775
AFW,1988,2.52365930599391
AFW,1989,0.8692870226082889
AFW,1990,1.057361394572085
AFW,1991,1.741887859326655
AFW,1992,-0.0629990064786939
AFW,1993,0.553455723541917
AFW,1994,31.8410168416385
AFW,1995,10.5632886691814
AFW,1996,4.914239726372
AFW,1997,3.99714170439302
